"Loop", "IPP", "SIMD"
15939, 16828, 14623
16104, 16777, 14787
16310, 17292, 14567
15795, 16409, 14562
16030, 16797, 14572
15961, 16153, 14617
15650, 16717, 14283
15752, 16447, 15495
15800, 16957, 15344
15738, 15819, 13938
15103, 15861, 13792
15064, 15433, 13888
15072, 15823, 13851
14937, 15316, 14404
16209, 18109, 14884
18602, 20037, 14929
16287, 17932, 14847
15741, 15808, 14077
15320, 16704, 14018
15643, 15918, 14324
15871, 15932, 13862
15090, 16059, 13910
15145, 16288, 13838
15108, 15416, 13814
15107, 16507, 14685
16577, 15438, 13880
15589, 16273, 14016
15292, 16672, 14811
15901, 16586, 14140
15285, 15887, 14136
